adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
cute,6,value,0.787272727,input,0.012673158035368032,0.47659904336004005,0.24880670877468897,0.23613355073932094,"[0.9285714285714286, 0.87013413992635458, 0.8655970541820095]",2,"cute little ,cute little ,cute little ,cute little ,cute red ,cute red ,","cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
gold,1,color,0.214166667,sub,-0.02790616648243982,0.5625,0.76887706610654893,0.79678323258898875,"[0.25, 0.12314364568274412, 0.10737284794322513]",2,"fancy gold ,","big gold ,big gold ,"
cheap,10,value,0.77125,sub,-0.010000000000000009,0.13636363636363635,0.12967105263157896,0.13967105263157897,"[0.8636363636363636, 0.87032894736842104, 0.86032894736842103]",2,"cheap little ,dirty cheap ,cheap little ,cheap red ,cheap red ,cheap red ,cheap green ,cheap old ,cheap new ,cheap soft ,","nice cheap ,"
yellow,91,color,0.343333333,input,0.00065904666900574343,0.20232151215808739,0.00065932474335813425,2.7807435239077152e-07,"[0.02717391304347826, 0.11863279691448331, 0.2291528128740524]",2,"nice yellow ,strange yellow ,big yellow ,blue yellow ,nice yellow ,nice yellow ,little yellow ,bright yellow ,dirty yellow ,big yellow ,deep yellow ,shiny yellow ,clear yellow ,long yellow ,small yellow ,long yellow ,tiny yellow ,strong yellow ,dark yellow ,giant yellow ,hard yellow ,tiny yellow ,golden yellow ,small yellow ,bright yellow ,huge yellow ,new yellow ,soft yellow ,bright yellow ,old yellow ,little yellow ,sharp yellow ,big yellow ,tiny yellow ,brilliant yellow ,flat yellow ,beautiful yellow ,long yellow ,bright yellow ,bright yellow ,hard yellow ,light yellow ,yellow brown ,giant yellow ,pale yellow ,golden yellow ,large yellow ,small yellow ,bright yellow ,thick yellow ,little yellow ,bright yellow ,bright yellow ,yellow plastic ,big yellow ,thick yellow ,famous yellow ,long yellow ,bright yellow ,empty yellow ,dirty yellow ,huge yellow ,early yellow ,large yellow ,dry yellow ,little yellow ,long yellow ,bright yellow ,pale yellow ,soft yellow ,pale yellow ,ancient yellow ,huge yellow ,long yellow ,large yellow ,new yellow ,pale yellow ,thin yellow ,pale yellow ,brilliant yellow ,big yellow ,big yellow ,heavy yellow ,long yellow ,bright yellow ,large yellow ,bright yellow ,bright yellow ,gorgeous yellow ,bright yellow ,little yellow ,","nice yellow ,big yellow ,little yellow ,green yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,special yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,round yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,big yellow ,soft yellow ,little yellow ,little yellow ,big yellow ,little yellow ,"
bright,94,color,0.464,sub,-0.1620162797286186,5.1342352530261399e-12,0.00018291622307662137,0.16219919595169521,"[0.9421052631578948, 0.11848057477381586, 0.40447046301224054]",2,"bright blue ,bright red ,bright white ,nice bright ,nice bright ,nice bright ,big bright ,bright new ,bright polar ,nice bright ,bright red ,bright yellow ,bright white ,bright blue ,bright new ,bright red ,bright new ,bright new ,bright old ,bright red ,bright new ,bright new ,bright purple ,bright red ,bright new ,bright yellow ,bright blue ,bright blue ,bright brown ,bright red ,bright green ,bright blue ,bright yellow ,bright red ,bright green ,bright blue ,bright yellow ,bright new ,bright new ,bright blue ,bright red ,bright blue ,bright red ,bright red ,bright yellow ,bright red ,bright green ,bright green ,bright blue ,bright red ,bright wooden ,bright red ,bright blue ,bright yellow ,bright red ,bright red ,bright red ,bright blue ,bright yellow ,bright yellow ,bright blue ,bright red ,bright red ,bright red ,bright yellow ,bright blue ,bright blue ,bright red ,bright yellow ,bright red ,bright red ,bright red ,bright new ,bright green ,bright red ,bright red ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright red ,bright yellow ,bright red ,bright red ,bright yellow ,bright green ,bright yellow ,bright red ,bright red ,bright red ,bright yellow ,","bright wee ,bright red ,bright red ,nice bright ,bright green ,nice bright ,nice bright ,nice bright ,bright green ,nice bright ,bright green ,bright green ,nice bright ,bright green ,nice bright ,bright green ,nice bright ,nice bright ,nice bright ,nice bright ,nice bright ,nice bright ,nice bright ,bright red ,"
cold,15,physical,0.69,lexical,0.25068167393080659,0.350189208984375,0.38875102644380277,0.13806935251299618,"[0.53125, 0.48090849242922978, 0.75273206056616193]",2,"nice cold ,big cold ,hard cold ,big cold ,nice cold ,horrid cold ,dark cold ,cold new ,cold old ,cold old ,cold blue ,cold green ,cold hard ,cold blue ,cold blue ,","nice cold ,nice cold ,cold full ,"
slow,3,speed,0.504285714,sub,-0.0781517023793874,0.375,0.48455370053897728,0.56270540291836468,"[0.625, 0.51544629946102272, 0.43729459708163532]",2,"slow just ,slow comfortable ,heavy slow ,","long slow ,"
just,3,value,0.60125,input,-0.12420297727271978,0.765625,0.016903076254082907,0.14110605352680269,"[0.125, 0.86998816879190222, 0.62435914289470229]",2,"french just ,slow just ,odd just ,","good just ,okay just ,"
wee,N/A,dimension,0.762857143,N/A,0.0,0.10803152807056902,0.10803152807056902,0.10803152807056902,not in input,2,,"gorgeous wee ,bright wee ,awful wee ,wee high ,good wee ,wee quick ,awful wee ,wee hungry ,poor wee ,wee tiny ,good wee ,poor wee ,wee tiny ,awful wee ,good wee ,awful wee ,wee tiny ,wee old ,wee old ,wee old ,wee tiny ,wee red ,good wee ,awful wee ,wee tiny ,wee old ,wee tiny ,awful wee ,wee tiny ,good wee ,wee red ,wee red ,wee red ,wee tiny ,"
young,27,age,0.551538462,lexical,4.9964874059778941e-09,2.257814930454156e-10,4.9964879676571526e-09,5.6167925818804796e-16,"[0.4107142857142857, 0.36562046683370697, 0.56659633390478703]",2,"young exciting ,nice young ,new young ,new young ,young black ,stupid young ,new young ,new young ,small young ,young black ,nice young ,nice young ,new young ,young new ,nice young ,nice young ,nice young ,nice young ,nice young ,good young ,young hard ,young green ,young red ,young new ,young new ,young green ,young brown ,","beautiful young ,new young ,beautiful young ,beautiful young ,new young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,new young ,beautiful young ,beautiful young ,beautiful young ,new young ,beautiful young ,new young ,beautiful young ,new young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,new young ,beautiful young ,"
