adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
cute,6,value,0.787272727,input,0.0063189764142047578,0.37447067692574559,0.35542646949829804,0.34910749308409328,"[0.9285714285714286, 0.87013413992635458, 0.8655970541820095]",3,"cute little ,cute little ,cute little ,cute little ,cute red ,cute red ,","cute little ,cute little ,little cute ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
gold,1,color,0.214166667,sub,-0.03703560660816374,0.421875,0.67419474110433619,0.71123034771249993,"[0.25, 0.12314364568274412, 0.10737284794322513]",3,"fancy gold ,","small gold ,small gold ,little gold ,"
yellow,91,color,0.343333333,input,0.12235201163893758,0.35481806942624911,0.13125028697697741,0.0088982753380398277,"[0.02717391304347826, 0.11863279691448331, 0.2291528128740524]",3,"nice yellow ,strange yellow ,big yellow ,blue yellow ,nice yellow ,nice yellow ,little yellow ,bright yellow ,dirty yellow ,big yellow ,deep yellow ,shiny yellow ,clear yellow ,long yellow ,small yellow ,long yellow ,tiny yellow ,strong yellow ,dark yellow ,giant yellow ,hard yellow ,tiny yellow ,golden yellow ,small yellow ,bright yellow ,huge yellow ,new yellow ,soft yellow ,bright yellow ,old yellow ,little yellow ,sharp yellow ,big yellow ,tiny yellow ,brilliant yellow ,flat yellow ,beautiful yellow ,long yellow ,bright yellow ,bright yellow ,hard yellow ,light yellow ,yellow brown ,giant yellow ,pale yellow ,golden yellow ,large yellow ,small yellow ,bright yellow ,thick yellow ,little yellow ,bright yellow ,bright yellow ,yellow plastic ,big yellow ,thick yellow ,famous yellow ,long yellow ,bright yellow ,empty yellow ,dirty yellow ,huge yellow ,early yellow ,large yellow ,dry yellow ,little yellow ,long yellow ,bright yellow ,pale yellow ,soft yellow ,pale yellow ,ancient yellow ,huge yellow ,long yellow ,large yellow ,new yellow ,pale yellow ,thin yellow ,pale yellow ,brilliant yellow ,big yellow ,big yellow ,heavy yellow ,long yellow ,bright yellow ,large yellow ,bright yellow ,bright yellow ,gorgeous yellow ,bright yellow ,little yellow ,","little yellow ,yellow white ,nice yellow ,bright yellow ,little yellow ,little yellow ,nice yellow ,bright yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,little yellow ,little yellow ,big yellow ,nice yellow ,little yellow ,bright yellow ,big yellow ,little yellow ,bright yellow ,little yellow ,"
bright,94,color,0.464,sub,-0.20120712651344808,0.00012164467766579505,0.0031318123837969117,0.204338938897245,"[0.9421052631578948, 0.11848057477381586, 0.40447046301224054]",3,"bright blue ,bright red ,bright white ,nice bright ,nice bright ,nice bright ,big bright ,bright new ,bright polar ,nice bright ,bright red ,bright yellow ,bright white ,bright blue ,bright new ,bright red ,bright new ,bright new ,bright old ,bright red ,bright new ,bright new ,bright purple ,bright red ,bright new ,bright yellow ,bright blue ,bright blue ,bright brown ,bright red ,bright green ,bright blue ,bright yellow ,bright red ,bright green ,bright blue ,bright yellow ,bright new ,bright new ,bright blue ,bright red ,bright blue ,bright red ,bright red ,bright yellow ,bright red ,bright green ,bright green ,bright blue ,bright red ,bright wooden ,bright red ,bright blue ,bright yellow ,bright red ,bright red ,bright red ,bright blue ,bright yellow ,bright yellow ,bright blue ,bright red ,bright red ,bright red ,bright yellow ,bright blue ,bright blue ,bright red ,bright yellow ,bright red ,bright red ,bright red ,bright new ,bright green ,bright red ,bright red ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright red ,bright yellow ,bright red ,bright red ,bright yellow ,bright green ,bright yellow ,bright red ,bright red ,bright red ,bright yellow ,","nice bright ,bright black ,bright yellow ,nice bright ,bright yellow ,nice bright ,big bright ,big bright ,bright yellow ,bright yellow ,"
rough,11,physical,0.715,lexical,0.2483683812948681,0.12449036900398659,0.32348160635584039,0.075113225060972302,"[0.7083333333333334, 0.48091854191340966, 0.76608764311093569]",3,"good rough ,quick rough ,rough old ,ugly rough ,rough old ,rough old ,rough wooden ,rough red ,rough old ,rough brown ,rough wooden ,","rough little ,rough little ,vicious rough ,vicious rough ,vicious rough ,"
perfect,9,value,0.493,lexical,0.44277068806735953,0.84999999999999998,0.87028022628601498,0.42750953821865545,"[0.85, 0.87028022628601498, 0.42750953821865545]",3,"normal perfect ,perfect human ,perfect short ,perfect small ,perfect green ,perfect smooth ,perfect brown ,perfect hard ,perfect good ,","perfect good ,"
just,3,value,0.60125,lexical,0.40350753314369742,3.0517578125e-05,0.49838703126753026,0.094879498123832853,"[0.125, 0.86998816879190222, 0.62435914289470229]",3,"french just ,slow just ,odd just ,","just plain ,just little ,just pure ,just dirty ,just little ,"
wee,N/A,dimension,0.762857143,N/A,0.0,0.00390625,0.00390625,0.00390625,not in input,3,,"wee little ,wee little ,wee little ,wee little ,wee little ,wee little ,wee little ,wee little ,"
young,27,age,0.551538462,lexical,0.20097586707108006,0.5892857142857143,0.63437953316629303,0.43340366609521297,"[0.4107142857142857, 0.36562046683370697, 0.56659633390478703]",3,"young exciting ,nice young ,new young ,new young ,young black ,stupid young ,new young ,new young ,small young ,young black ,nice young ,nice young ,new young ,young new ,nice young ,nice young ,nice young ,nice young ,nice young ,good young ,young hard ,young green ,young red ,young new ,young new ,young green ,young brown ,","little young ,"
black,38,color,0.269,lexical,0.02542848781455781,0.039148114849602088,0.36614811255479157,0.34071962474023376,"[0.3717948717948718, 0.12130216587427364, 0.14005546751188588]",3,"gorgeous black ,old black ,little black ,big black ,big black ,good black ,big black ,young black ,black shiny ,black good ,small black ,strange black ,young black ,thick black ,little black ,black little ,big black ,black red ,little black ,big black ,big black ,tiny black ,big black ,big black ,black fluffy ,white black ,stupid black ,teenage black ,small black ,black red ,black wooden ,black wooden ,black short ,black plastic ,black wooden ,black plastic ,black wooden ,black wooden ,","bright black ,little black ,black little ,little black ,little black ,little black ,small black ,beautiful black ,little black ,little black ,little black ,"
innocent,2,human,0.598461538,lexical,0.39622053712899474,0.027777777777777766,0.53793201245907507,0.14171147533008036,"[0.8333333333333334, 0.2665615141955836, 0.62355415352260779]",3,"innocent little ,innocent wooden ,","little innocent ,little innocent ,"
nifty,N/A,value,0.621538462,N/A,0.0,0.5,0.5,0.5,not in input,3,,"nifty little ,"
orange,1,color,0.301538462,sub,-0.035985108582609338,0.0146484375,0.36399534129924016,0.3999804498818495,"[0.75, 0.12314364568274412, 0.16296490997502958]",3,"orange smooth ,","brown orange ,little orange ,little orange ,orange light ,big orange ,"
sorry,1,human,0.68,input,-0.46497568668681827,0.75,0.26659219345511892,0.73156788014193719,"[0.75, 0.26659219345511892, 0.73156788014193719]",3,"sorry poor ,","sorry little ,"
wool,N/A,material,0.287,N/A,0.0,0.25,0.25,0.25,not in input,3,,"warm wool ,warm wool ,"
smart,15,human,0.596666667,lexical,0.072159042719215943,0.00028640031814575195,0.27995782882235865,0.2077987861031427,"[0.96875, 0.26616194865042792, 0.62317314022383152]",3,"smart little ,smart new ,smart wooden ,smart new ,smart new ,smart new ,smart new ,smart new ,smart new ,smart green ,smart new ,smart new ,smart new ,smart new ,smart blue ,","smart little ,smart little ,nice smart ,nice smart ,nice smart ,"
