adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
cute,22,value,0.787272727,sub,-0.0060122690716342356,1.0924293500206533e-06,0.0051278684422286867,0.011140137513862922,"[0.9782608695652174, 0.81145011998628724, 0.76791223860130275]",4,"cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,","little cute ,little cute ,little cute ,little cute ,cute little ,"
naughty,3,human,0.723,lexical,0.57641612340780057,0.015625,0.67567843655967541,0.099262313151874851,"[0.875, 0.17800338409475466, 0.68494077834179357]",4,"naughty little ,naughty little ,naughty little ,","little naughty ,little naughty ,"
old,34,age,0.646666667,lexical,0.10570921423574424,0.0046964216710587564,0.10584685103833687,0.00013763680259262667,"[0.1, 0.20324922226062911, 0.62046318700311098]",4,"mean old ,big old ,nasty old ,fun old ,fun old ,big old ,big old ,little old ,wicked old ,little old ,fun old ,mean old ,big old ,mean old ,mean old ,mean old ,wise old ,wise old ,wise old ,mean old ,mean old ,wise old ,royal old ,old grey ,poor old ,poor old ,dirty old ,old narrow ,old narrow ,dirty old ,dirty old ,poor old ,big old ,grand old ,","big old ,mean old ,big old ,big old ,plain old ,wicked old ,big old ,big old ,old fat ,big old ,old grey ,old grey ,little old ,little old ,old grey ,old grey ,old grey ,old grey ,old grey ,big old ,little old ,stupid old ,dirty old ,dirty old ,dirty old ,dirty old ,big old ,big old ,good old ,"
fun,19,value,0.872857143,input,0.024472113473789386,0.050624999999999989,0.0357925493060628,0.011320435832273414,"[0.775, 0.81081081081081086, 0.89360246322271641]",4,"fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,fun little ,little fun ,pretty fun ,big fun ,big fun ,fun old ,fun old ,fun old ,fun little ,fun little ,fun little ,fun little ,","mad fun ,mad fun ,"
just,12,value,0.60125,lexical,0.37678526631595777,0.19202321347291756,0.53012185089302744,0.15333658457706967,"[0.5769230769230769, 0.80932924753149471, 0.53524004085801835]",4,"blue just ,just young ,just young ,just young ,just young ,just young ,just young ,alright just ,alright just ,alright just ,just young ,alright just ,","just plain ,just back ,just dead ,"
sweet,6,physical,0.724666667,lexical,0.21737253903542988,1.8593443208187024e-06,0.22024815977765547,0.0028756207422255793,"[0.9285714285714286, 0.26110545947778907, 0.6897253306205493]",4,"sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,","nice sweet ,nice sweet ,nice sweet ,nice sweet ,little sweet ,"
green,104,color,0.208461538,lexical,0.0001015175112919939,1.0992777815271096e-09,0.00014891162161201476,4.7394110320020853e-05,"[0.004761904761904762, 0.053759535052669817, 0.042135851798038505]",4,"little green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,long green ,long green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,big green ,nice green ,nice green ,nice green ,long green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,little green ,yellow green ,yellow green ,orange green ,big green ,orange green ,little green ,little green ,little green ,yellow green ,yellow green ,","green white ,light green ,light green ,light green ,yellow green ,light green ,green light ,green light ,nice green ,green little ,green little ,"
back,2,location,0.297142857,sub,-0.14462589458799358,0.57870370370370383,0.58494950191256323,0.72957539650055681,"[0.16666666666666666, 0.16367940480216436, 0.099763273588096044]",4,"little back ,huge back ,","little back ,just back ,small back ,"
yellow,10,color,0.343333333,input,-0.20442041329287233,0.42853117956423731,0.20790135329140677,0.4123217665842791,"[0.4090909090909091, 0.08228493709622578, 0.23461407684461066]",4,"little yellow ,big yellow ,big yellow ,plain yellow ,yellow green ,yellow green ,bright yellow ,big yellow ,yellow green ,yellow green ,","yellow green ,little yellow ,red yellow ,"
bright,3,color,0.464,lexical,0.3712811174956554,0.390625,0.83857249607049911,0.46729137857484371,"[0.375, 0.084263959390862939, 0.31641285956006771]",4,"big bright ,big bright ,bright yellow ,","nice bright ,nice bright ,"
