adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
heavy,4,physical,0.5725,input,0.21775147928994087,0.90000000000000002,0.73136094674556218,0.5136094674556213,"[0.1, 0.26863905325443788, 0.4863905325443787]",3,"big heavy ,big heavy ,big heavy ,big heavy ,","big heavy ,"
cute,11,value,0.787272727272727,input,0.13226705914530362,0.586181640625,0.46062025535599843,0.32835319621069481,"[0.875, 0.82382650029708848, 0.75698158051099229]",3,"cute little ,cute little ,little cute ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,","cute little ,cute little ,cute little ,cute little ,"
naughty,3,human,0.723,input,-0.49083382613837967,0.875,0.19692489651094028,0.68775872264931992,"[0.875, 0.19692489651094028, 0.68775872264931992]",3,"naughty little ,naughty little ,naughty little ,","naughty little ,"
old,22,age,0.646666666666667,lexical,0.21787464311662574,0.21676085989086261,0.21804677431711239,0.00017213120048663433,"[0.1956521739130435, 0.22188995215311005, 0.63486842105263153]",3,"little old ,stupid old ,merry old ,merry old ,big old ,poor old ,poor old ,poor old ,fun old ,old dead ,merry old ,merry old ,fun old ,old grey ,little old ,stupid old ,grand old ,big old ,yucky old ,yucky old ,old little ,old clever ,","fat old ,stupid old ,stupid old ,old fun ,plain old ,big old ,old south ,wet old ,wicked old ,plain old ,mean old ,poor old ,mean old ,stupid old ,stupid old ,stupid old ,old dirty ,old dirty ,stupid old ,"
just,4,value,0.60125,sub,-0.069329569579110795,0.098414999999999947,0.21630807969866928,0.28563764927778007,"[0.9, 0.8224852071005917, 0.56005917159763319]",3,"just plain ,just little ,just dirty ,just little ,","just little ,just little ,just little ,little just ,just little ,fun just ,"
brown,37,color,0.29875,sub,-0.013011549125976962,0.19364453816744936,0.33965079225895972,0.35266234138493668,"[0.039473684210526314, 0.091430295715147852, 0.098974049487024748]",3,"dark brown ,pretty brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,small brown ,nice brown ,brown orange ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,little brown ,little brown ,","brown blue ,big brown ,big brown ,little brown ,big brown ,big brown ,"
sweet,11,physical,0.724666666666667,input,-0.3116520327073406,0.669921875,0.019179268452301817,0.33083130115964243,"[0.875, 0.26767676767676768, 0.69162210338680929]",3,"nice sweet ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,","sweet little ,sweet little ,sweet little ,"
hard,1,physical,0.428181818181818,input,0.028942705256940315,0.75,0.73095097460129943,0.70200826934435911,"[0.25, 0.26904902539870051, 0.29799173065564089]",3,"pretty hard ,","awful hard ,"
yellow,26,color,0.343333333333333,sub,-0.20472762820616908,0.036834257001247546,0.089489512743042579,0.29421714094921164,"[0.05555555555555555, 0.094124700239808151, 0.24700239808153476]",3,"little yellow ,yellow white ,nice yellow ,bright yellow ,little yellow ,little yellow ,nice yellow ,bright yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,little yellow ,little yellow ,big yellow ,nice yellow ,little yellow ,bright yellow ,big yellow ,little yellow ,bright yellow ,little yellow ,","little yellow ,little yellow ,little yellow ,little yellow ,yellow green ,yellow orange ,"
high,5,location,0.428181818181818,input,0.20412650862019593,0.77025462962962954,0.55079492690050047,0.34666841828030454,"[0.08333333333333333, 0.18028419182948491, 0.2975133214920071]",3,"big high ,big high ,big high ,big high ,big high ,","big high ,big high ,big high ,"
